,T1_R1,T2_R1,T3_R1,T4_R1,T5_R1,T6_R1,T7_R1,T8_R1,T9_R1,T10_R1,T1_R2,T2_R2,T3_R2,T4_R2,T5_R2,T6_R2,T7_R2,T8_R2,T9_R2,T10_R2,T1_R3,T2_R3,T3_R3,T4_R3,T5_R3,T6_R3,T7_R3,T8_R3,T9_R3,T10_R3,T1_R4,T2_R4,T3_R4,T4_R4,T5_R4,T6_R4,T7_R4,T8_R4,T9_R4,T10_R4,T1_R5,T2_R5,T3_R5,T4_R5,T5_R5,T6_R5,T7_R5,T8_R5,T9_R5,T10_R5,T1_R6,T2_R6,T3_R6,T4_R6,T5_R6,T6_R6,T7_R6,T8_R6,T9_R6,T10_R6,T1_R7,T2_R7,T3_R7,T4_R7,T5_R7,T6_R7,T7_R7,T8_R7,T9_R7,T10_R7,T1_R8,T2_R8,T3_R8,T4_R8,T5_R8,T6_R8,T7_R8,T8_R8,T9_R8,T10_R8,T1_R9,T2_R9,T3_R9,T4_R9,T5_R9,T6_R9,T7_R9,T8_R9,T9_R9,T10_R9,T1_R10,T2_R10,T3_R10,T4_R10,T5_R10,T6_R10,T7_R10,T8_R10,T9_R10,T10_R10,T1_R11,T2_R11,T3_R11,T4_R11,T5_R11,T6_R11,T7_R11,T8_R11,T9_R11,T10_R11,T1_R12,T2_R12,T3_R12,T4_R12,T5_R12,T6_R12,T7_R12,T8_R12,T9_R12,T10_R12
B9A064,8.660438516545224,8.719408628124087,8.628208879614691,8.80614739248229,8.84167350726483,8.82415055614426,8.747770678592568,8.458574333675497,8.553358829919182,8.316195447958668,8.578459456790641,8.471977848299948,8.437390160727352,8.40751279493211,8.43253769192677,8.458966571581268,8.454142100435373,8.529300196556454,8.345915504453517,8.562994117444127,8.528482202986023,8.598350734536536,8.523976002407847,8.567124104511393,8.489635969499922,8.57187442097043,8.557163866596168,8.570908927029674,8.549583179374112,8.487769026952723,8.5244691637773,8.433479770127102,8.583164189372393,8.48805587445872,8.53125013299326,8.59863209737105,8.577770989171134,8.535180400696335,8.109921987036056,8.53250757313458,8.926284590177747,8.896633230771508,8.853824262194273,8.822279124016916,8.841854110740892,8.875639846136195,8.83426486428435,8.824686752274056,8.576819428955018,8.57810026161733,8.508889579014582,8.598139197980263,8.645916569938768,8.50701041466318,8.575218775477335,8.605311936602003,8.684785418259212,8.695329999620888,8.538423633306977,8.469633735189703,8.622602438774576,8.687485670196931,8.438797535237264,8.29449829532642,8.573079371974698,8.398685336090345,8.342884700017635,8.573852064011557,8.700144875928506,8.551507153640841,8.572594149625244,8.57813607472591,8.669893725039216,8.598532504022296,8.514504805073285,8.6783303320264,8.625290724502035,8.44435315829124,8.367739536447248,8.479936084174241,8.179609948906368,8.25806996624093,8.307294511976552,8.302820990514935,8.318314564287848,8.192932186297044,8.313741018864162,8.241542465046827,8.700951340208283,8.49060256400368,8.709575956397604,8.552357317685823,8.655701509245278,8.77152809708726,8.625791026104677,8.551970757148815,8.809561042255433,8.770268754783729,8.450753392866673,8.481933967558948,8.366512555607486,8.517669357376814,8.547462592238023,8.509859984256025,8.23538241645204,8.563806293658814,8.469249632964717,8.569212121918921,8.408809045973573,8.556814544970003,8.603343267078298,8.564743848719969,8.607971264691367,8.537564288790854,8.507831410752917,8.57328261493705,8.511456048776626,8.463560139002672,8.683317144130305,8.504044853553774
O43895,6.891449841275561,6.889881029986712,6.811282919373782,7.120780896619066,7.274259382570743,6.929809546514682,7.001873691522773,6.839980095623183,6.803936037599546,6.890204502353383,7.012216453675149,7.005848983508859,7.064410944191067,6.919034237822181,6.767556046619501,6.846321892484522,6.891963914691502,6.939796624995472,6.658083468596868,6.910706376194466,6.995075707778501,7.002173997840284,6.819620797575097,6.975844650316153,6.7960170504398265,6.939048265442754,6.830519396444874,7.001404525253905,6.8034906464813485,7.048538335501591,6.90257008146792,6.845222962833842,6.983432942888249,6.83920809509021,6.782305876653554,6.804738224735736,7.0125766369452345,6.79854419603887,7.033428683274948,7.0457429301488,7.114199754598603,6.728857213578376,6.661914378426544,6.880108825967485,7.161223215629836,6.859573401362066,6.845953666405943,7.00721310516749,7.265184080181828,7.05680940035238,6.9576920985241,7.132976348792156,7.090715271248888,6.846024331043126,6.852119565534843,6.880885570201542,6.749114935065669,6.884225189330843,6.897875778958556,6.83502561879674,6.941019943215816,6.839581960057161,6.768322711263846,6.807944037930407,6.979557654099797,6.892050964827249,6.924741600950452,6.936166881299839,7.079672601411748,6.852646603739336,6.840053113179414,7.023476617514757,7.09059000888452,6.976702841133827,6.861356035521032,6.872079712504124,6.808911932391687,6.876241837134407,6.8296927789955095,6.8610844182545,6.905669480882005,6.992890290368226,6.8129364028969,6.753016257676084,7.0339421191033455,7.000030016871403,7.041832930690224,7.0376068162294825,6.927171293958114,6.86334446401334,6.875706888662705,6.933399664609671,7.008487430855047,6.923964087613293,6.879393626698811,6.830664457570892,6.918097678047594,6.708712312369895,6.879436945232503,6.79050199112163,6.701055703309248,6.952528231564149,6.857216104856676,6.857761115262136,6.787575100491024,6.948260598454359,6.944056537317207,6.8286127397737255,6.8962788571736615,6.856083978391449,6.899566540199803,7.084761977417042,6.868280862589231,6.829255700368828,7.112130922805681,7.022409539602019,7.0181066637669565,6.886262589612374,6.844058821465544,6.989051174352726
O76076,6.806474727470835,6.853606650723981,6.750114560888363,6.835486314062555,7.09619137126605,6.871627923147724,6.785797857211004,6.62129894883458,6.710406886771006,6.70582761565199,7.060045278086752,6.879143129097353,6.811452478148882,6.778063482728314,6.626776307969267,6.804321720776768,6.754547646068158,6.774897408122527,6.5586421502781285,6.767393180012593,6.769915792553126,6.897486172633559,6.7769851287100895,6.822039123154486,6.664987222704314,6.56744280460156,6.819204653699676,6.678393594509978,6.704179933961324,6.698223487368537,6.570576082568791,6.625339243981784,6.769510336523095,6.705991598818386,6.682584159037529,6.761836474658053,6.730482647006892,6.811427522810549,6.879821959320895,6.802272038274147,6.54214036998797,6.496573683705635,6.714502647887924,6.718358062183091,6.92744007750719,6.557901014456664,6.714224868606406,6.779530302354151,7.0077388572871895,6.793908255669869,6.701006684744895,6.89681198446777,6.76980445606149,6.779429572051464,6.712831781813226,6.786234064934026,6.816755704841749,6.8614497991510826,6.7662217448138815,6.673741434054486,6.951855463861856,6.992859848401798,6.73461952568947,6.544484614076552,6.738193197817539,6.803369279271145,6.7241260588998175,6.797237521592126,6.832971948832626,6.724509630879636,6.729716743035006,6.7497174490662175,6.820452181666994,6.744623197442813,6.724398147802877,6.726986219583975,6.72585945050322,6.778809811776218,6.6361032943646965,6.704347841747008,6.731428548446049,6.731760458371949,6.8366437566763,6.857639525954156,6.86136230285641,6.809793617890919,6.604664550230379,6.69607835935393,6.734736434845847,6.686450607775418,6.824726720195459,6.637419514780839,6.795123467845733,6.833022576374084,6.709242216805779,6.729737656867108,6.860443449419347,6.828860418446405,6.686833944900775,6.683429816136351,6.568049033534245,6.748806424004915,6.667567103927396,6.727843100226793,6.598314978885158,6.806287931654212,6.709163273460026,6.696144912304467,6.795278498800828,6.755271045833865,6.908850852753566,6.838633628701248,6.823335199230142,6.728558486429077,6.904251166305451,6.805095646753846,6.800544118565424,6.706532944763584,6.749959733253489,6.747374993686429
O94760,8.155172158587657,8.045064724821458,8.202115626753654,8.210307820039997,8.209733156583228,8.206296635759179,8.24989010276711,8.235130740748708,8.268252821757539,8.277202878686369,8.377581418644525,8.438707301022117,8.268061845594168,8.279717989846883,8.325427014714297,8.229924508951205,8.229093094560238,8.243516708464291,8.242759657888255,8.291867990768688,8.351803162899529,8.255109825255493,8.233935668667785,8.226324607479556,8.297213140192945,8.242266721511678,8.226050532260219,8.24825450087959,8.273440765663144,8.288682618503474,8.371955728284188,8.425576874126113,8.180018007654398,8.215055475326835,8.295475761107475,8.207673407746011,8.224709173295736,8.221078730486205,8.296006343516845,8.30068102917574,7.983638869303908,7.775988187252341,8.195423660999904,8.13580699037424,8.164632530674476,8.253307328944155,8.151599875948332,8.148141700467447,8.283038177427041,8.281195832974742,8.374417626972198,8.282487350985676,8.233805955008753,8.200341314965844,8.31045011616392,8.228742169101679,8.203726540687533,8.211105012965216,8.27010971094181,8.264206404864392,8.103282160932622,8.00449940766156,8.191923156095287,8.222000675993716,8.281477001316537,8.218197835282982,8.21808345287823,8.19341280879456,8.27759809105205,8.263004313246208,8.202461326412672,8.131523833664348,8.21245161378849,8.222459817963728,8.318710736637012,8.223949872001274,8.21584565334045,8.24730030069032,8.277244000891038,8.284775462301841,8.273830237506964,8.294855541761203,8.2146384255771,8.193616585549135,8.263187850872622,8.198772944174152,8.22335801122104,8.200046348766405,8.280067376151665,8.27425472764348,8.13519413952779,8.463750339810746,8.2763863182392,8.232329426625633,8.318297342338537,8.208809082801515,8.18838612223159,8.178585234544705,8.280352530782341,8.261629681499736,8.559657730282444,8.240943087455593,8.2219430052328,8.231731045068413,8.304853320269022,8.211941869072472,8.21949465383657,8.229021927718353,8.27285165529399,8.285028499156246,8.038837514118137,8.248344920202449,8.229213520917629,8.199433371169725,8.279058584362216,8.19921581671402,8.243715121532807,8.225548077484785,8.260865185752165,8.292815417932875
O95445,7.50762362988185,7.623819994927189,7.420428935096517,7.629546428120114,7.935126235879438,7.588200058857195,7.531766690222427,7.260261419592762,7.180880330833034,7.38593933958407,7.518137376138534,7.335147389340891,7.365309564293753,7.222355614787603,7.0861433527351565,7.328625620410628,7.337635725968992,7.403992637329558,7.092744519232542,7.444313604946139,7.344886539233117,7.411534316394877,7.308121734128447,7.428779510783542,7.150880505536519,7.414130433250579,7.241507013630313,7.320758200538254,7.236237468017474,7.29280743242059,7.2583071468294,7.091364471676264,7.387660791832798,7.18638341907524,7.184165122434336,7.346062927469008,7.371859970923303,7.214540413965436,7.900220942677172,7.544130572287299,7.508065863382872,7.687719656017749,7.528190130068988,7.417179910913664,7.742505026742516,7.341303489507677,7.47348585833284,7.468510953976675,7.963253443170909,7.418682092045772,7.303995959571094,7.459620906723512,7.525957467861991,7.2975627482524414,7.280797842776895,7.399502066571571,7.451371315448474,7.459776807866515,7.251475239327297,7.304900328223351,7.567950499504866,7.628651629405697,7.342381613713283,6.998801511244728,7.550976401361116,7.24521332098428,7.3323261216060756,7.477666729553438,7.422205557242085,7.370461713668678,7.4036419655661,7.486619712568375,7.507540771551599,7.483074589323187,7.234493731669581,7.2662822144438115,7.452408115166342,7.1785789708863375,7.205404571401398,7.1697289745379615,7.191887700767813,7.369931591082377,7.537659102233766,7.493990140334985,7.553562970736222,7.364149335079391,7.445430789099132,7.463315192359611,7.385795367553058,7.340268403003276,7.586063377110981,7.297478317905527,7.481750376800424,7.61534391578393,7.353103090599324,7.419324170574688,7.487210864172392,7.559629050998409,7.10901067994133,7.47961444101788,6.961693423760922,7.290977610421837,7.364283027820591,7.218151076615576,7.190341347212068,7.415966387686961,7.290834474087317,7.214373830302367,7.434770472049373,7.39829611118209,7.612168326376226,7.459103268100154,7.539827635487805,7.3944427223320925,7.5891551793261085,7.423629170443922,7.3490564470822815,7.333637487221865,7.354969755734456,7.291032209576534
O95715,4.989950754778918,5.488486852972075,5.113575201054672,5.337657502803324,5.521099902748859,5.115377878917961,5.2048351373456585,5.048911966129529,5.353504199539812,4.966784556150597,5.187968812818756,4.998815410886759,5.049892007055762,4.997477819182245,5.52462800124873,5.18938804277934,5.133449901099983,4.997755832151352,5.018087068364773,5.101830045689686,5.017015066635629,4.978306770700188,4.851788056190991,5.095921078265564,5.29814797959401,4.80904857947295,5.110211805882259,5.157793782525101,5.348220748418887,5.155936717798031,4.906580984972672,5.224913783054726,5.266082772722591,5.192996636984903,4.633404817752181,5.119452136195761,4.996551378390359,4.891623532905144,4.682112818425469,5.170352979356021,5.911065167902909,4.784634369203622,5.110199839573012,5.231189300974942,5.385583083054079,5.445214430051885,5.325904756863406,4.810985509306708,4.886347242850719,5.0181564095459015,5.153383682439509,5.049331333872447,4.944506740892426,5.012040009480754,5.1007446635353695,5.221315014065781,4.914081452519468,5.039378629556945,5.109382083414486,4.933474657447432,5.103461101738486,5.3239947101721405,4.999729179117652,4.789195347600513,4.788439552674397,5.287475376269145,4.963189185913969,5.044206920086373,4.894172413504887,4.960039708068489,5.706451356877752,5.473521143356202,5.316417999302944,5.302227524951851,4.812376694469132,5.231108383640893,5.1358704087907885,5.297915012649891,5.398206726103334,5.209616230748291,4.98402007449868,4.95354231746317,5.414610783431215,5.395493620055413,5.103523677574076,5.008357280922064,5.1762667121136925,5.258336082622209,5.010664567656086,5.113509280009917,5.563856181542731,4.359099128437627,4.987427638145365,5.129569352726221,4.950114392035906,4.879068867408117,4.989725792639974,5.18197762479157,5.158975749876395,5.159285815563256,4.889227669436231,4.945819843242349,5.038951768822761,5.102138868382421,4.968276627400146,5.136295006220775,5.094646461204291,5.197522774751456,5.222091894665142,5.287189788676319,5.002462457858163,4.941154425421304,5.0311335781396975,5.035630483805112,5.301796345887194,5.055971022242118,5.240742296726062,5.0944508644334014,5.149344661961861,5.247036334745499
O95998,7.323395590166814,7.363055610850225,7.353958744326117,7.403470278552855,7.413451243914233,7.422300472590181,7.373853264587571,7.409454372166898,7.4368529228811795,7.427851958341993,7.477082473292067,7.435196658067823,7.416225853274726,7.431116697229804,7.520165763069684,7.385997392197291,7.392938206864951,7.414099182064966,7.432141486890044,7.429722927905086,7.369853852266984,7.4089050791858595,7.412443665430614,7.440255526204298,7.493981024893369,7.380288326467917,7.371006623645504,7.45191448871301,7.454819433574726,7.438554598206457,7.383348457860278,7.406560701837479,7.379230530629184,7.372260126657753,7.425228350047713,7.438353538734255,7.408878458058816,7.385158829537946,7.376698666223715,7.413194798685343,7.573461768106624,7.400188927691788,7.396263428990434,7.418379608654331,7.248534235916299,7.411866436309782,7.430863790482491,7.368608482446894,7.377490814758754,7.3920360182122575,7.450170281534109,7.410502702332156,7.423447628768329,7.335668409962184,7.455498009086456,7.460001742552483,7.377648901194361,7.395205221835712,7.435305350881873,7.428725698163626,7.308731778721849,7.215137267355598,7.3772833903814705,7.3913497635426,7.343145569363768,7.414219694737675,7.445188594559323,7.425463327575926,7.396579573936298,7.429588002839665,7.386772468926819,7.394587512497455,7.404455520068048,7.417834652415893,7.434115054415049,7.409987273925047,7.42974820992564,7.327239261431545,7.474716137613588,7.466882636271808,7.352899435172884,7.396157600462082,7.378241766376957,7.405630287311165,7.327136487152584,7.365509533190058,7.420464613415154,7.409544674764882,7.463765684871183,7.42750033818119,7.385922715692385,7.456240354835408,7.421137431615195,7.408730531334215,7.454645995648196,7.388915690979898,7.436034000105624,7.436160088675717,7.485636656945001,7.416696819704415,7.4187533172795,7.332842490925184,7.40941483486068,7.397977041795634,7.4452589017444915,7.391988222410182,7.434275207679802,7.377610624356388,7.431841588187796,7.428968645023937,7.513147267367216,7.40190542506495,7.390065002390729,7.400940924737593,7.354251316707935,7.424264800220698,7.418196150400458,7.416285313359473,7.400161114788481,7.4444720711154995
P00450,8.900081538689918,8.632414604124584,8.874583399819548,8.512833808938868,9.21011260660877,8.584992113343228,8.626366278232124,8.823287009962693,8.569354056335207,8.757299867224262,8.85220386989901,8.965723423296696,8.687228492225701,8.948188248362847,8.599046975665349,8.707587833274049,8.688467400745552,8.722914592550936,8.486728491912661,8.813994880328801,8.867084003262311,8.95998580042447,8.827975304472432,8.71781298905127,8.638368659601259,8.787855285025495,8.761478613722211,8.817933123396031,8.685616207503765,8.754332880806437,8.825110365091723,8.785936755220964,8.632305701118728,8.745406435986306,8.62015374121805,8.826786349349899,8.79527100636576,8.738718354693143,9.15036250675835,8.847721083565455,8.63104886571944,8.2562958096704,8.810862368425612,8.5929807845624,9.049126100852206,8.751555742895196,8.590156954780056,8.634841383845465,9.285195528307428,8.753287263453117,8.792037840262825,8.982189035713514,8.661658085262694,8.841167016066807,8.66077545081934,8.660034237886608,8.680161957547224,8.682081186283824,8.708275962519219,8.72517963798796,8.60623193080056,8.660066127724221,9.037793009997811,8.914012870831655,8.804908679470959,8.882902784488314,8.836265416663512,8.692060232253544,8.649645690125444,8.786396137970327,8.91311892010932,8.884938637222689,8.929781046561903,8.809194871587277,8.64897907270418,8.728213248996225,8.777302159704268,8.77107057943676,8.747786294868366,8.754523494057915,8.810859480957296,8.925876723097554,8.691680250722827,8.759826637222812,8.909701855134827,8.625950689263414,8.631379587050759,8.600182534237906,8.70993381081576,8.836803425525874,8.900231144287387,8.833867740824283,8.842141421399521,8.83730568425706,8.680046198775363,8.829984907292953,8.70080390210148,8.65740034529853,8.719540703314019,8.780446629868576,8.611486846400728,8.881574896632781,8.840564254877343,9.005769723054255,8.601131706643827,8.7277712753255,8.799956488428155,8.802007893238658,8.680147330628094,8.753936431584048,8.81674018014487,8.999226750770843,8.61328259536359,8.655701828238607,8.956244766188005,8.682013098548712,8.767113587445065,8.794754522460282,8.710122372865898,8.800049553465577
P00734,7.738068932508948,7.853607367356996,7.6861777263753055,7.919532646620655,8.075048505235989,7.96749629287138,7.880865147925203,7.399507757337181,7.617554632163497,7.679546737219173,7.639289068015337,7.488391593049692,7.446059575003642,7.399498766816749,7.484116680833138,7.34376546490842,7.478267561938191,7.492096829504439,7.605623389528609,7.581861228382586,7.573446736327303,7.644443854951923,7.565123154943348,7.647007598899484,7.594905104742682,7.7596627327720515,7.647261433264573,7.579381728411015,7.637948610574831,7.664595993188254,7.630612782275578,7.508770928743501,7.764648424610126,7.626984255325677,7.56374249561255,7.712321018588779,7.717719260036883,7.6437282782121025,8.049589926305496,7.730896610177555,8.12719923721129,8.083822768388439,7.9575828787539615,7.892061752380437,7.919706686744458,8.060812481123106,7.981422881545937,7.946395024793619,7.896922059690546,7.715250576451703,7.489078749083938,7.674302111171967,7.738813462568926,7.723468993948492,7.5810322293863965,7.6399132675231485,7.782482689806621,7.809326534979434,7.592895782675899,7.732049580537241,7.873420915163252,7.999008829564661,7.702267995527535,7.490325341051442,7.71456213925832,7.619475651055766,7.591166900156761,7.920265228539131,7.711193367994337,7.602739159315622,7.726485818794174,7.712650407179136,7.844425643275726,7.683146433601284,7.614235124216933,7.691333909272966,7.882285988705931,7.573158170704285,7.516060024907008,7.646426267424953,7.60205959705253,7.663038640939892,7.890403873912934,7.820785785193508,7.759031250946132,7.775756551569666,7.924116051433141,7.846288511204527,7.583575514394958,7.728366853729572,7.70072014320946,7.49454368352866,7.549592174199689,7.77864871367567,7.568247971151402,7.505894661634805,7.80312596815675,7.807808223874398,7.682765286757488,7.81226710889844,7.400650968221735,7.589788603329063,7.672296058324248,7.5946868860286045,7.634350759377473,7.714884508886488,7.574623965212084,7.6649268241304895,7.748173354119936,7.664581762240539,7.795219346315033,7.649420074300909,7.780690728226047,7.693669081974204,7.715307058716554,7.717316959552091,7.641846156113442,7.5082943002159235,7.579732161705283,7.633092656792273
P00738,7.96688578990948,7.942245415548823,7.952259331912274,7.957654549987193,8.105866404457625,7.957617809243475,7.823710638774957,7.814074467263692,7.874699234045195,7.9034348737788225,5.632946883517685,5.6372215689444936,6.256960404285305,6.452864415330062,6.427990932679101,6.85516156716394,7.265203897691141,6.940328080123054,8.007563786462908,7.480636597133432,7.824399907774703,7.990210906068352,7.886230126193349,7.921881981528174,7.742170720148154,7.847034076441809,7.873841863834443,7.779479952720623,7.682095584212432,8.104265320603064,8.380910823997176,8.22446572923922,8.161027579733851,8.090104597108617,8.016985325443008,8.03249674367588,7.99769137565133,7.995400345938332,7.903110655300209,7.781747437079375,7.851187212033392,7.999433843656244,8.018653455366985,7.941018890824079,8.14314174723556,8.009822099113732,7.983933050046117,7.973183199254135,7.617736383671849,7.981529291014848,7.707106431777308,7.752748297767766,7.708104335100813,7.794674514404831,7.547548448446861,7.625913826976904,7.68054935335278,7.667167861290273,7.970403610935238,8.087989666036226,8.50282753436459,8.30124045364103,8.144081088387463,8.098701043366644,8.19614865985552,8.039637858016011,8.023855586692262,8.04119564134072,8.009341773540026,8.014868046292614,7.708321795899244,7.80331158773884,7.916013731347252,7.649796657966091,7.802589196281776,7.917979634760452,7.709314288995768,7.874649369823552,6.786030497775707,7.79488955977051,7.762305747542337,7.735929437090733,7.873168380613383,7.783143389652305,7.90188582341018,7.814744093593628,7.882380570119975,7.8600563329538415,7.912951134047239,8.157791430217413,8.094132192459396,7.990341461182859,8.050234545605397,8.033901878048136,7.914133045514476,7.887572604098825,7.917336865649653,7.953319629776686,7.644241518771173,8.15250860400265,7.953395823707018,8.000411597109839,7.9457706282126335,7.866730450354784,7.748911651607105,7.853809175097008,7.958885000607409,7.911515711357819,7.978967191823371,8.019797590058078,7.670727135578261,7.698462803076139,7.545905320151643,7.643144418952749,7.519374078736392,7.628430529710748,7.779653052004619,7.638443018337917,8.035414143417295,7.956002542647878
