Condition,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia
Sample,iBAQ H10,iBAQ H11,iBAQ H12,iBAQ H3,iBAQ H4,iBAQ H5,iBAQ H6,iBAQ H7,iBAQ H8,iBAQ H9,iBAQ P1,iBAQ P10,iBAQ P11,iBAQ P2,iBAQ P3,iBAQ P4,iBAQ P5,iBAQ P6,iBAQ P7,iBAQ P8
Protein IDs,,,,,,,,,,,,,,,,,,,,
Q99880,7.606435121850408,7.319085250169168,0.0,7.792769788352133,7.059828419481399,8.033383545194736,6.829985305317624,0.0,0.0,7.271214120466717,7.267617555138064,7.1050671829072,7.36325463981079,7.35102287193771,7.967459053744621,7.132227692763346,8.608793375055964,0.0,7.447204575910123,8.225464361791374
O75592,6.9134483086336305,6.604712039640263,5.393436557851989,7.177940335838565,7.0501476967136805,6.847615901368769,0.0,5.837393340648677,0.0,7.277517555891924,6.200440350180109,5.648458570004819,6.368342865293645,6.259594117771736,6.696207899302001,6.25244061940233,7.153814894821334,5.304708051377888,6.832796282237007,6.704999478944088
P00338,7.521791662700611,7.116142687092311,0.0,7.695175119276463,6.6343362779079245,7.760407411031992,7.017742705852433,0.0,5.937939444471331,6.678955276149537,6.978271887268169,6.2129332576893646,6.589558783785859,6.708794776341818,7.0713296237118035,6.095588095413613,7.453608807306687,0.0,6.8029857596944625,7.309779185762122
P01009,7.664143482361452,6.275127229950824,0.0,7.441302302414234,7.40927359359375,7.179523095760364,6.748583442684333,6.331427498988986,0.0,0.0,0.0,0.0,0.0,6.8220569407021925,6.49684679227361,6.027105273897275,8.056942949482144,6.042142577197168,6.685580616806189,7.0836459635166396
P01024,7.821827842532067,7.443482051372682,0.0,7.666854811875885,7.392521107521826,7.7534834814467235,6.824158453611347,6.045166839462386,0.0,6.981719011438088,0.0,0.0,4.725715665766084,5.818134140863157,7.168173291655906,6.428734128008298,7.800201398006631,0.0,6.074451084830159,7.305673767153466
P01036,7.106598847189573,7.337579070105189,6.4744349593448165,7.6940257620266745,7.481729211283713,6.77450973959218,7.817320727433177,0.0,6.439601241662017,0.0,0.0,6.137575950061675,6.367784598489784,8.09156145166238,6.567732080051972,0.0,7.74831985414811,0.0,7.2120543914531705,6.909951688052438
P01833,7.499315863355579,7.088384221530065,6.618717440638286,7.823069749227271,7.529584345032203,7.429703859119148,7.566413932406263,5.654206392579199,5.836875180656758,7.983581191216067,0.0,5.825524131320921,6.372672891169532,0.0,6.693568763079568,5.948555261939944,7.5408048233325005,0.0,7.128690025877407,6.5542105649429665
P01859,7.786723043054422,7.9160853051123485,0.0,7.977023603334937,7.506153138408026,8.08026563094994,7.781697950665146,7.218614295997556,0.0,7.1855138525500974,0.0,0.0,0.0,7.149003482744872,7.0889861543312005,7.226006720538561,7.714438747276419,6.507370188469049,7.0133008289764165,7.293340474751321
P01871,7.689832547523661,7.418185259520119,5.421441035895151,8.10366691716751,7.210211498407178,7.507235020933957,7.099577095447556,6.4386057875358675,0.0,7.536015247534218,6.758874135888068,6.555106666719171,6.8681034961053,6.116275919863877,7.499948144310888,6.675063182983989,8.064869628800178,6.537743684933956,7.251346183935171,7.611053840736742
P01876,7.3681566886398855,7.238372354113202,0.0,7.982732430480314,7.7449107363224865,7.708633329510156,7.575741921367605,6.613419050805257,0.0,8.12817301798277,6.283278834816979,0.0,6.825055998327238,6.46585867857661,6.8536739417005155,6.827026678666508,7.384192087601132,0.0,7.273418017911611,7.039057057727664
P02787,8.174147068005317,8.060546758903957,5.895456249519628,8.134113333031445,8.091315163216628,8.098816720508077,7.889777770065582,7.627509242284356,0.0,7.478465499563008,0.0,6.548254378856104,0.0,6.2288623849329445,7.561637966481042,7.35531741794771,8.06509399309559,5.9686048140991685,6.782114219204001,7.492397175377675
P02788,7.392890338278292,7.518132132529175,7.0568286907405025,7.9418690615124365,7.717720427358406,7.420236396972319,7.9914165961111845,6.881875229376163,7.012837266869683,7.937883834006765,0.0,6.910960452917174,6.010003398532678,5.9857322139485305,7.092896045988022,6.606800514950617,7.367020303551415,5.394243239509294,6.460100805089823,6.789467964271178
P02790,7.736587717090499,7.423245890325279,0.0,7.69988107513493,7.643324353121437,7.666527349608484,7.14323348588165,6.771852018643937,0.0,6.575903494348045,0.0,6.286905577297979,0.0,6.606209440769233,7.440342256998509,7.048130965902443,7.918544058111956,0.0,6.536053281554554,7.340999042336918
P04083,6.538548725968256,6.371012601713558,6.167553916474452,6.321391485513206,6.415907912234126,6.507464695671668,7.029586712199767,0.0,6.043873304956087,6.319564274167278,7.897984280763517,7.362444792792277,7.987299734649593,7.679237064946652,7.658640915353534,7.176583209685682,7.119321919460062,7.558432561884355,7.865358676160112,8.138586873810022
P04259,6.6929879319731675,6.466986331049855,6.6252919707153,6.791164195279101,6.914866586954573,6.519092744919486,6.354531190029172,6.819622956787618,6.787680116714477,6.607669543868506,7.796900285540452,6.617545594252857,7.230116712352504,7.22729527612463,6.707697976119137,6.959008031496631,7.058805524605554,6.701386717785401,6.895422601293156,6.716771115256984
P05109,7.969541713716713,7.581266816663508,6.91409980998774,6.826470090013224,6.869020448642663,7.39005151414919,7.128270027492823,0.0,6.102090868827497,7.244598726056674,7.328501943068929,6.952603626733166,7.516997859401736,7.1766699615825615,7.829953126793082,7.0191578892945845,8.038659898275549,6.632791337595794,7.655368982055248,7.9280833397364265
P05164,7.3201255267542695,7.68699357519343,6.810655916730301,6.1440761178781305,6.6307939722999185,7.421883512632069,6.747590538832221,6.648291787230892,5.880082104701874,7.400348015243021,5.670246781052795,0.0,5.753047328524107,0.0,7.390387497993801,6.504375837437982,7.58903316688381,0.0,6.300573964260865,6.758684925583059
P06702,8.586474779696804,8.25173553287032,7.934675168089354,7.5857088381795865,7.659963722780477,7.987246069461606,7.803190728141276,7.815006288553281,7.444497616396039,8.129625455257932,8.313550873443267,7.890409845495418,8.074816444300852,8.15250238351803,8.233884111300432,7.691735545722143,8.292477595882442,8.140759374011058,8.019074733334225,8.090081621568237
P06733,7.506518575146251,7.4176875578093195,6.688491100964506,8.030316310038707,7.271353645352898,8.21534670550724,7.879445704193533,6.905590877365311,6.639377005369608,7.195733675945855,6.9409297147096405,6.905822908288988,7.002209316197095,7.447747046897453,6.945872212595317,6.352703551835929,7.325105003515138,6.49897196981546,7.3127907132810215,7.747691414382422
P07737,7.824496818144919,6.4463353503275345,0.0,7.347076215599998,6.581870161220149,7.625055101558601,7.255513736933607,0.0,0.0,6.2046898914985364,7.006080825541699,6.168262004979464,6.993149589748428,7.331811836225652,0.0,0.0,6.976954955691136,6.7428743992864355,6.766286481756692,7.157154470149629
P07900,6.455317145988052,6.468170178951843,5.545580475091298,6.686332424943853,0.0,7.285377275761481,6.514720506407103,0.0,5.59512239136182,0.0,6.608183704593265,6.300204268813018,6.742709502704887,7.368379890219154,6.747442960988591,5.726858373854619,7.288405762530951,5.935235620880757,6.710853348600166,7.389148375424406
P62987,0.0,7.449694351066416,6.763630192933034,7.464936444010127,6.761469333143194,7.6915500385049365,7.642118143595288,7.092369734737808,6.643423163199284,0.0,7.480064475974695,6.993520039041027,7.346919945382914,7.527462349445797,7.756544835967467,6.950345427540477,7.38221524105983,6.471643845643603,7.32676586582937,7.538221744815701
P11142,6.855034377314595,6.522874532603431,0.0,7.477873394619153,5.91507834888889,7.617220590055343,7.505027829392484,0.0,0.0,6.413467580602343,6.775712438807264,6.673932889395822,6.786758589364634,7.268414167984858,6.269583219520554,0.0,7.21208104264248,5.74348703030672,7.160138287759675,7.658526526993161
P13796,7.155062649613289,6.632396648698056,0.0,6.736348767103871,6.022758606358876,7.198959366138071,6.367654232911942,0.0,0.0,6.34488347566111,5.975358730591295,0.0,5.950224124060093,6.303477069531081,6.6140004002243735,0.0,7.372820000085176,0.0,6.264629194393434,6.705299190171652
P14618,7.084075603564309,6.834643262308991,0.0,7.872459304550861,6.3764311337158714,7.798553978273581,7.502071904874896,0.0,0.0,6.483744299202081,6.947301403672699,6.504837852743274,6.578982957201716,7.247384017459981,6.255103821324613,0.0,6.924403404163592,6.155002140167379,6.930831964627321,7.3750963934053795
P15311,6.0772592272104005,6.163221324953686,0.0,7.0879233563952795,5.659394162874044,7.2810561273202445,6.867184603452881,0.0,0.0,6.243831709697162,6.593828706763832,6.531389622026806,6.444809761119115,6.93811431123777,6.664877013783495,0.0,7.172164942756864,6.110421683266755,6.931950926854408,7.364363373383858
