Protein IDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,-log10.padj
Q99880,29351458.13724645,1.953247706058922,0.47600430052555653,4.103424494069361,4.0707934781589464e-05,0.0007938047282409946,Significant,3.100286318577183
P01833,12368489.04820016,-1.8317082617867795,0.5689372742520953,-3.2195258505336604,0.0012840278307722443,0.010015417080023506,Significant,1.9993309603213703
P01859,18322302.18097185,-1.065756148142673,0.4098164289077876,-2.600569603768808,0.009306913679815537,0.04032995927920066,Significant,1.3943722164954158
P01876,17159105.996362053,-1.8041363543079956,0.5181861460365008,-3.4816375700266464,0.0004983577151999371,0.005670656104051716,Significant,2.2463666896283576
P02675,12483106.403485952,-1.77960362546073,0.514484770820739,-3.4590015611575686,0.0005421817620598116,0.005670656104051716,Significant,2.2463666896283576
P02787,30568551.14024027,-1.4966799350973545,0.5965196780776877,-2.5090202219656437,0.012106655344295612,0.0497010061502662,Significant,1.3036348192931153
P02788,19116811.178717922,-2.51030972618152,0.5291405395428316,-4.744126632879773,2.0940782669506638e-06,5.444603494071726e-05,Down-regulated,4.264033742465934
P04083,33304623.813422363,4.489110007410842,0.49231297172790184,9.118406918377817,7.623668927535861e-20,5.946461763477972e-18,Up-regulated,17.225741369341666
P05109,22445415.306426287,1.3454884875216748,0.46379090465490846,2.9010669981180603,0.0037189435540580826,0.01812984982603315,Significant,1.7416057932566835
P0DOY3,15155477.925779155,-1.5829182001264088,0.5153555983631192,-3.071506752141821,0.0021298134703230547,0.011075030045679885,Significant,1.9556550868967413
P20160,11488144.46006162,-1.5843741105027043,0.44899374969119343,-3.5287219735071966,0.0004175715825636445,0.005670656104051716,Significant,2.2463666896283576
P23528,10111070.088931873,-1.6805812435068734,0.5450485316551835,-3.0833607392782905,0.0020467688075840253,0.011075030045679885,Significant,1.9556550868967413
P25311,17513704.911038492,-1.6081334440113817,0.5079289426998042,-3.1660598733823675,0.0015451898504684827,0.010956800757867423,Significant,1.9603162356354022
P29508,9551357.674191501,-1.774119603247568,0.5157248788378707,-3.4400504533451084,0.0005816057542617144,0.005670656104051716,Significant,2.2463666896283576
P30740,15378545.836525176,2.4772974537751273,0.3850739460426858,6.433303211587617,1.2486021933142834e-10,4.869548553925706e-09,Up-regulated,8.312511299489032
P61626,12884714.307579946,-1.6426583156689885,0.5327466570175536,-3.0833761113865874,0.0020466630723453686,0.011075030045679885,Significant,1.9556550868967413
P63104,26356035.35406065,1.5489318835089305,0.49737626578430055,3.114205461867903,0.0018444100363418682,0.011075030045679885,Significant,1.9556550868967413
P68431,46833317.544673756,1.4969464434472508,0.44812261012336796,3.3404840765234813,0.0008363247646074874,0.007248147959931557,Significant,2.1397729497785467
Q01469,20555937.904241364,-1.6653843712398015,0.640273824286424,-2.601050219561683,0.009293884769118415,0.04032995927920066,Significant,1.3943722164954158
