Protein IDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,-log10.padj
A0A075B6P5,40219798.08010064,-1.429701084871782,0.647994370353894,-2.206348002824421,0.027359642753942055,0.09700236976397637,Not significant,1.0132176558074986
Q99880,29351458.13724645,1.953247706058922,0.47600430052555653,4.103424494069361,4.0707934781589464e-05,0.0007938047282409946,Significant,3.100286318577183
O75592,4057267.4995886236,-0.7856980154964689,0.5146950028459307,-1.5265312683279741,0.1268776094139271,0.24137691547039786,Not significant,0.6173042668120381
P00338,7517038.015192753,-0.19674048168021663,0.33715070299871086,-0.5835386962873066,0.5595307151942854,0.6819280591430353,Not significant,0.16626143936871499
P00450,4914607.382845953,-0.35546475211574335,0.49873144483582404,-0.7127377986618785,0.4760080220528531,0.6253982939874008,Not significant,0.20384330779546558
P00738,9785989.063376551,-0.41149878678263313,0.5122016413730723,-0.8033921673494008,0.4217481008023647,0.567178480389387,Not significant,0.24628025530284162
P01009,7792308.581268236,0.06745589576936316,0.519036713110004,0.1299636308290713,0.8965952009864684,0.9304820941367763,Not significant,0.03129197985982846
P01023,10585857.785532665,-0.9146354691751356,0.44888803168622904,-2.0375581539551093,0.04159414054592383,0.12977371850328234,Not significant,0.886813251023191
P01024,9390821.206082094,-0.7303403617894703,0.5946016496530646,-1.2282851253702471,0.21933995281320218,0.39787247254487834,Not significant,0.40025610718538973
P01036,9960889.570563402,-0.805677159004282,0.4735780589684984,-1.701255249787394,0.08889506715178319,0.19810900679540255,Not significant,0.7030957793194872
P01619,16510231.08002467,-0.7459939018622117,0.47609558304311805,-1.566899438751252,0.11713819888904298,0.2284194878336338,Not significant,0.6412668465839523
P01700,20398944.528601307,-0.5852963941105326,0.5106597304837011,-1.1461573317248552,0.25173005906298584,0.4103715278357237,Not significant,0.38682277882407723
P01833,12368489.04820016,-1.8317082617867795,0.5689372742520953,-3.2195258505336604,0.0012840278307722443,0.010015417080023506,Significant,1.9993309603213703
P01857,6240623.827276097,-0.625092267173246,0.333043008896819,-1.8769115413766502,0.06053021877367698,0.15230184078538078,Not significant,0.817294847562828
P01859,18322302.18097185,-1.065756148142673,0.4098164289077876,-2.600569603768808,0.009306913679815537,0.04032995927920066,Significant,1.3943722164954158
P01860,4092705.998683167,0.18698575798567144,0.38713155244606573,0.48300314661570204,0.6290935020041855,0.740446364019012,Not significant,0.13050639514982915
P01871,14805552.076557452,0.03701760568559436,0.5569590046045605,0.06646378885978649,0.9470085862417156,0.9593073990500495,Not significant,0.01804220584357218
P01876,17159105.996362053,-1.8041363543079956,0.5181861460365008,-3.4816375700266464,0.0004983577151999371,0.005670656104051716,Significant,2.2463666896283576
P02671,6761906.910620609,-0.6908829458152826,0.49826592329864894,-1.3865747455524537,0.16557147355281254,0.3074898794552233,Not significant,0.512169173771757
P02675,12483106.403485952,-1.77960362546073,0.514484770820739,-3.4590015611575686,0.0005421817620598116,0.005670656104051716,Significant,2.2463666896283576
P02787,30568551.14024027,-1.4966799350973545,0.5965196780776877,-2.5090202219656437,0.012106655344295612,0.0497010061502662,Significant,1.3036348192931153
P02788,19116811.178717922,-2.51030972618152,0.5291405395428316,-4.744126632879773,2.0940782669506638e-06,5.444603494071726e-05,Down-regulated,4.264033742465934
P02790,12335697.491297053,-0.19830670950939908,0.48147070829515054,-0.4118769970692243,0.6804295818140922,0.7691812663985389,Not significant,0.11397130165510723
P04004,4951707.161090702,0.3834225931496657,0.3782340689409751,1.0137177600717409,0.3107174470629728,0.46607617059445916,Not significant,0.33154310098049894
P04075,4601103.03250045,0.06868172055312716,0.36574787040060763,0.18778433481485296,0.8510457163142102,0.9304820941367763,Not significant,0.03129197985982846
P04083,33304623.813422363,4.489110007410842,0.49231297172790184,9.118406918377817,7.623668927535861e-20,5.946461763477972e-18,Up-regulated,17.225741369341666
P04259,12064707.027681347,1.3083792389025555,0.6183074071746328,2.1160659305073164,0.03433920059202114,0.11645468026859343,Not significant,0.9338430526511691
P04406,5570271.649383452,-0.72242596604836,0.3698204468135964,-1.9534505792549923,0.05076622789441531,0.1414202062772998,Not significant,0.8494885336241518
Q6FI13,7245924.140558203,0.1951788794130572,0.43506827310866086,0.44861666887006063,0.6537082071205016,0.7498417669911636,Not significant,0.1250303725719862
P05109,22445415.306426287,1.3454884875216748,0.46379090465490846,2.9010669981180603,0.0037189435540580826,0.01812984982603315,Significant,1.7416057932566835
P05164,8380133.405919229,-0.5473062178803905,0.6034848498350759,-0.9069096233815342,0.3644545917370695,0.5264344102868782,Not significant,0.27865573088861284
P06702,123794132.99302897,0.7692888615073477,0.4614858451506658,1.666982572902513,0.0955178701926586,0.20136199662236134,Not significant,0.6960224911536997
P06733,17718724.542492587,-0.6282084878259372,0.3826339836183423,-1.6418000353375377,0.10063145174539666,0.20655929568791948,Not significant,0.6849552559034275
P06744,3758502.7189801773,0.3538528415354871,0.44379465956096437,0.7973346094014412,0.4252567252348449,,Not significant,
P07237,6094259.784824321,1.069209172158759,0.47016144110157104,2.274131986778076,0.022958052007981473,0.08527276460107404,Not significant,1.069189656665721
P07437,5756131.212656666,0.47743627693564816,0.4147217939551431,1.1512206107675362,0.24964148802581387,0.4103715278357237,Not significant,0.38682277882407723
P07737,8397855.395696014,0.22681654288062547,0.4792595105695251,0.47326456309878845,0.6360244408881257,0.740446364019012,Not significant,0.13050639514982915
P07900,5027655.918216756,1.1685570184709804,0.4816495901422657,2.4261559490288813,0.015259711459368412,0.05951287469153681,Not significant,1.225389071201876
P08246,5193086.187071266,0.3269314275730291,0.3145736418526694,1.0392842376989344,0.2986725633113331,0.45679333212321527,Not significant,0.34028024417383024
P08311,8580432.036848132,0.8447550278476844,0.47836743728965725,1.7659124806527644,0.07741053300479041,0.17758886983451916,Not significant,0.7505842565806337
P08670,5451531.315199651,-0.32880809209436523,0.3800977786672325,-0.8650618618380028,0.38700483593447443,0.5466380842615394,Not significant,0.2623001143036996
P09211,6880084.224811243,0.04770194281169193,0.32914345497586844,0.14492751440307164,0.8847681024222238,0.9304820941367763,Not significant,0.03129197985982846
P0C0L5,4298363.136658377,-0.05867544245302011,0.5002236485779692,-0.11729841765742598,0.9066235789024999,0.9304820941367763,Not significant,0.03129197985982846
P62987,18916174.745211177,0.8615599594799465,0.41603410564089166,2.070887813759239,0.03836928125535741,0.12470016407991158,Not significant,0.9041329750783675
P0DMV8,4656874.326467977,-0.02535022696812912,0.5088641515808712,-0.04981727812693117,0.9602679978241874,0.9602679978241874,Not significant,0.01760754432161846
P0DOY3,15155477.925779155,-1.5829182001264088,0.5153555983631192,-3.071506752141821,0.0021298134703230547,0.011075030045679885,Significant,1.9556550868967413
P11142,7635139.31171414,0.5501054601122864,0.5008567914630407,1.0983288426725466,0.27206092173892127,0.4244150379127172,Not significant,0.37220923653599003
P11684,6387443.069719565,0.4699425550374293,0.29335571126794674,1.6019546815919694,0.10916563122741768,0.21833126245483536,Not significant,0.6608840740043815
P12273,5091672.193868187,-0.050780255754391365,0.33277331474197,-0.15259713896760624,0.8787159813482893,0.9304820941367763,Not significant,0.03129197985982846
P13639,3787715.9087205282,0.023876745254787973,0.5599480109393692,0.04264100378664142,0.965987708904585,,Not significant,
P13796,3712180.032196848,0.0949764376381509,0.44661168627293063,0.21265999201845665,0.8315921746627255,,Not significant,
P14618,7874099.438069676,-0.28281669104786455,0.45739730922187394,-0.6183173476227777,0.5363661688194508,0.6640723994907486,Not significant,0.17778456975055779
P14780,4459580.72748708,-0.34883662442221525,0.5542665973700548,-0.6293661318892636,0.529109385344968,0.6640723994907486,Not significant,0.17778456975055779
P15311,4688631.968003564,0.8553124723035093,0.4499481730270054,1.9009133130810032,0.057313368016981094,0.14901475684415086,Not significant,0.8267707215297132
P17066,4035180.7252500183,0.24839100421921875,0.3575486200784525,0.6947055316972482,0.48723986067658165,0.6253982939874008,Not significant,0.20384330779546558
P20160,11488144.46006162,-1.5843741105027043,0.44899374969119343,-3.5287219735071966,0.0004175715825636445,0.005670656104051716,Significant,2.2463666896283576
P22079,3323824.4565110924,0.6195391662647294,0.6379891942124571,0.9710809710962225,0.3315079588412536,,Not significant,
P23528,10111070.088931873,-1.6805812435068734,0.5450485316551835,-3.0833607392782905,0.0020467688075840253,0.011075030045679885,Significant,1.9556550868967413
P24158,8584209.799164338,0.3922413607557999,0.4586716646156926,0.8551680668664094,0.39245811177751544,0.5466380842615394,Not significant,0.2623001143036996
P25311,17513704.911038492,-1.6081334440113817,0.5079289426998042,-3.1660598733823675,0.0015451898504684827,0.010956800757867423,Significant,1.9603162356354022
P26641,3414361.7921630354,-0.42710149031261496,0.5354430811380112,-0.7976599294268011,0.42506786314041256,,Not significant,
P27797,4581835.177562996,0.39994039801430475,0.4384991262847842,0.9120665790211007,0.36173367035657644,0.5264344102868782,Not significant,0.27865573088861284
P29401,6233328.523047628,0.10703280226373109,0.5459095993563148,0.19606323535972642,0.8445606716684212,0.9304820941367763,Not significant,0.03129197985982846
P29508,9551357.674191501,-1.774119603247568,0.5157248788378707,-3.4400504533451084,0.0005816057542617144,0.005670656104051716,Significant,2.2463666896283576
P30740,15378545.836525176,2.4772974537751273,0.3850739460426858,6.433303211587617,1.2486021933142834e-10,4.869548553925706e-09,Up-regulated,8.312511299489032
P31146,3965487.974911084,-0.07547630531826713,0.47153480754575905,-0.16006518312212337,0.8728297273459018,0.9304820941367763,Not significant,0.03129197985982846
P32119,4550669.672658993,-0.7114929122752636,0.39926245865985255,-1.7820180606597238,0.07474628656343178,0.17667304096811148,Not significant,0.7528297156433859
P55072,3319294.204263938,-0.4229634656471851,0.6342260711072667,-0.6668970023713346,0.5048379258304323,,Not significant,
P59666,133809076.1360732,1.2078294148383377,0.6143339294182403,1.9660796140335661,0.04928941484882408,0.1414202062772998,Not significant,0.8494885336241518
P60174,7055918.9122022735,-0.9944969161104112,0.5343656768117282,-1.8610793306262448,0.06273297462363127,0.15291162564510122,Not significant,0.8155594945642729
P61626,12884714.307579946,-1.6426583156689885,0.5327466570175536,-3.0833761113865874,0.0020466630723453686,0.011075030045679885,Significant,1.9556550868967413
P62258,5583641.50059714,0.4042950815298681,0.3666901445514934,1.1025523525437808,0.2702216116399029,0.4244150379127172,Not significant,0.37220923653599003
P62937,5119687.746008998,-0.40290272949587114,0.3521228903561747,-1.144210559808629,0.25253632482198385,0.4103715278357237,Not significant,0.38682277882407723
P63104,26356035.35406065,1.5489318835089305,0.49737626578430055,3.114205461867903,0.0018444100363418682,0.011075030045679885,Significant,1.9556550868967413
P63261,3143472.2312836344,0.6392720542140155,0.48737925351871414,1.3116521673803028,0.1896375227300936,,Not significant,
P68363,8607044.184519768,0.8626572325982692,0.4278225504879664,2.0163902805364944,0.04375918105433759,0.13127754316301277,Not significant,0.8818095596265865
P68431,46833317.544673756,1.4969464434472508,0.44812261012336796,3.3404840765234813,0.0008363247646074874,0.007248147959931557,Significant,2.1397729497785467
P68871,20143400.595465444,-0.74511058584555,0.6326046474218843,-1.1778455768261777,0.23885817497202588,0.4103715278357237,Not significant,0.38682277882407723
P80723,3386465.05128968,-0.3014305131891112,0.5298002909648218,-0.5689512035566735,0.569389255377539,,Not significant,
Q01469,20555937.904241364,-1.6653843712398015,0.640273824286424,-2.601050219561683,0.009293884769118415,0.04032995927920066,Significant,1.3943722164954158
Q01518,3920977.547285904,0.3098523766544473,0.4190392350471751,0.7394352383722836,0.4596427511809147,,Not significant,
Q08380,4838300.254972024,0.1950276457621507,0.41012626785338985,0.4755307354072438,0.6344087314880551,0.740446364019012,Not significant,0.13050639514982915
Q15365,4063583.3039512546,-0.3175932086790649,0.39402498667677843,-0.8060230173666345,0.4202295774475775,0.567178480389387,Not significant,0.24628025530284162
Q6P5S2,10385480.671374407,0.42037753136794187,0.6077004030400659,0.6917512795202577,0.4890935376055313,0.6253982939874008,Not significant,0.20384330779546558
