Protein IDs,iBAQ H10,iBAQ H11,iBAQ H3,iBAQ H4,iBAQ H5,iBAQ H6,iBAQ H9,iBAQ P1,iBAQ P11,iBAQ P2,iBAQ P3,iBAQ P5,iBAQ P7,iBAQ P8
P01023;P20742,7.874452830909502,7.589502807439638,7.6671072570279115,7.499137008298297,7.728589138316443,6.9452962611076705,7.021478773591348,0.0,0.0,0.0,7.12264180237035,7.648028073417299,5.82322049056606,7.173506799333882
P01037,0.0,6.635895829414112,6.9233528895541845,6.590886509776487,0.0,7.083825031859624,0.0,0.0,0.0,7.462697423067068,0.0,7.2509320945699285,6.968861087066851,0.0
P59666;P59665,8.55898441706908,8.582120205156045,0.0,8.018575687628356,8.555602241059654,8.042417992082072,8.036189592749917,8.194236751500648,7.886180409630291,7.728970294034261,8.632062300463252,8.93464487520135,7.76489314266874,8.085433300984382
P30740;P50452;P50453;O75830,7.022057061879985,6.835240256865415,6.975918726538461,6.547208523364956,7.339431584551019,6.752133069348985,6.856583960436398,6.628685273225631,7.091772476576686,7.6205420502546035,7.5622809777133275,7.4269177301313105,7.660827556181622,8.081959069896525
P08311,7.377961588409219,7.156791398272571,0.0,0.0,7.3584108052334765,6.543074359401922,0.0,6.908045193715104,6.393312090279094,6.36257690091547,7.507410572563007,8.03862016592312,6.518514071482256,7.04477491343148
Q9NP55,8.27172547181329,6.859588636741635,8.110017010163178,7.211974428070875,7.687832067874056,0.0,7.736165356267843,0.0,0.0,0.0,7.353069521928049,7.803702879990854,7.704442245845638,0.0
Q01469;A8MUU1,7.100611787282467,7.103530097646344,8.222326213593716,6.870480046464008,8.332943162143321,8.502427121350138,6.519355523623282,7.4256483382240965,7.086217451302925,7.1610983864208695,6.477106922765281,0.0,6.788514890395776,6.739857113440766
O75592,6.9134483086336305,6.604712039640263,7.177940335838565,7.0501476967136805,6.847615901368769,0.0,7.277517555891924,6.200440350180109,6.368342865293645,6.259594117771736,6.696207899302001,7.153814894821334,6.832796282237007,6.704999478944088
P24158,7.7354471974547785,6.845662318141147,6.9534794596619465,6.8244057887274225,7.749241471257229,6.793573951573393,6.823448209847601,0.0,0.0,0.0,7.438051627401303,7.838263348775613,6.526507404699724,6.772703087460239
P52565,0.0,0.0,6.919120002387558,0.0,7.602483233003087,7.276691551811432,0.0,0.0,0.0,6.943182829947805,6.9231611423607955,6.717953367863081,6.616181438469014,6.90721249652755
P02545,0.0,0.0,7.072874633531582,0.0,7.310395915261668,7.237292362714793,0.0,6.7400942125365,6.897786541546588,7.127331641773135,6.266960633465667,0.0,7.052809366597523,7.483230601176366
P26641,0.0,6.095797141931966,6.190528066950771,0.0,6.871380320594582,5.999539838445093,0.0,6.096388894540237,6.132163916397786,6.339729817319064,6.9953851181416296,6.257750791317129,6.066400848676446,6.7139272220508195
P01024,7.821827842532067,7.443482051372682,7.666854811875885,7.392521107521826,7.7534834814467235,6.824158453611347,6.981719011438088,0.0,4.725715665766084,5.818134140863157,7.168173291655906,7.800201398006631,6.074451084830159,7.305673767153466
P00450,7.220055786416811,7.160978490098229,7.239824845289388,7.029221434857375,7.213278656569777,6.71222032906346,6.74940397634629,0.0,0.0,0.0,5.817803934629666,7.4630265360404415,5.384641892023134,6.484299981738396
P11142;P54652,6.855034377314595,6.522874532603431,7.477873394619153,5.91507834888889,7.617220590055343,7.505027829392484,6.413467580602343,6.775712438807264,6.786758589364634,7.268414167984858,6.269583219520554,7.21208104264248,7.160138287759675,7.658526526993161
P15311;P35241,6.0772592272104005,6.163221324953686,7.0879233563952795,5.659394162874044,7.2810561273202445,6.867184603452881,6.243831709697162,6.593828706763832,6.444809761119115,6.93811431123777,6.664877013783495,7.172164942756864,6.931950926854408,7.364363373383858
P31946,0.0,0.0,7.010808639874132,0.0,6.964363405219086,6.839905280977925,0.0,0.0,0.0,6.000868154958638,0.0,6.63294304555862,0.0,6.548229799402874
P06702,8.586474779696804,8.25173553287032,7.5857088381795865,7.659963722780477,7.987246069461606,7.803190728141276,8.129625455257932,8.313550873443267,8.074816444300852,8.15250238351803,8.233884111300432,8.292477595882442,8.019074733334225,8.090081621568237
P29508,7.126033980541861,7.436862061259286,7.720828849640985,6.648028161319289,8.176958983476426,7.9524194820443235,6.339431763444761,6.280237037406368,6.321329320624197,5.759744122760487,0.0,0.0,0.0,6.584512255763355
P60953,6.580400427968917,0.0,6.546431731487994,0.0,6.681042230627601,0.0,0.0,6.3684358400314185,0.0,0.0,6.899607186296268,6.981732600195955,6.67385006937398,6.535395527992538
Q5TZA2,0.0,0.0,6.207095809999818,0.0,6.286726079772162,6.062093269066239,0.0,0.0,0.0,5.994581521007021,0.0,0.0,5.901927236975897,6.175801922570986
P60174,6.986467218440989,6.342856955510854,7.69330476603586,5.926327523928552,7.8309798129892,7.790179576110669,0.0,6.331245239374059,0.0,6.817142172508248,0.0,6.235957731714025,6.108666820710409,7.199919678997766
P52209;A0A8H6F362,6.197363548696647,0.0,6.904856194972626,0.0,7.31603330310303,0.0,0.0,6.074451084830159,6.165363347468136,6.947904083484961,6.944803388748562,7.1003016384871405,6.871666380527801,7.2997469552727745
P01857,7.553482526848613,7.400399839327484,7.232767499587054,6.84945633033019,7.577744501776862,6.86168378963645,6.786467547749839,0.0,0.0,0.0,6.53526892263488,7.151063284024263,0.0,6.6449012949017225
Q01518,6.963476203692155,6.226677478480131,6.995933439315362,5.853741395775066,7.271121078967,6.816513129662271,5.990134981618127,0.0,0.0,6.387781404735206,6.313740919289703,6.887414788640337,6.557519352356926,6.8531322262707945
P08246,7.264912248190589,6.863072979681579,6.666817484291075,0.0,7.390581896219047,6.606596416624715,6.750269274220647,6.510330624931399,0.0,0.0,6.648701554169281,7.258541531065002,0.0,0.0
P05109,7.969541713716713,7.581266816663508,6.826470090013224,6.869020448642663,7.39005151414919,7.128270027492823,7.244598726056674,7.328501943068929,7.516997859401736,7.1766699615825615,7.829953126793082,8.038659898275549,7.655368982055248,7.9280833397364265
P07900;Q14568;Q58FG0,6.455317145988052,6.468170178951843,6.686332424943853,0.0,7.285377275761481,6.514720506407103,0.0,6.608183704593265,6.742709502704887,7.368379890219154,6.747442960988591,7.288405762530951,6.710853348600166,7.389148375424406
P02788,7.392890338278292,7.518132132529175,7.9418690615124365,7.717720427358406,7.420236396972319,7.9914165961111845,7.937883834006765,0.0,6.010003398532678,5.9857322139485305,7.092896045988022,7.367020303551415,6.460100805089823,6.789467964271178
P04406,0.0,0.0,7.633013733481996,6.4296878575671395,7.495100117174503,7.291102352572958,0.0,0.0,6.499233447840989,6.713482226737004,0.0,6.340761489925833,6.427891812849778,6.803743887475544
